"Date","Price","Open","High","Low","Vol.","Change %"
"06/07/2024","11,850.0","11,950.0","12,100.0","11,800.0","3.87M","-0.84%"
"06/06/2024","11,950.0","11,850.0","12,150.0","11,750.0","6.83M","1.70%"
"06/05/2024","11,750.0","12,150.0","12,150.0","11,750.0","7.21M","-2.08%"
"06/04/2024","12,000.0","11,950.0","12,350.0","11,950.0","5.51M","0.84%"
"06/03/2024","11,900.0","12,000.0","12,100.0","11,850.0","5.47M","0.42%"
"05/31/2024","11,850.0","12,200.0","12,350.0","11,800.0","6.62M","-2.47%"
"05/30/2024","12,150.0","12,200.0","12,350.0","11,850.0","6.67M","-0.82%"
"05/29/2024","12,250.0","11,650.0","12,450.0","11,550.0","20.85M","5.15%"
"05/28/2024","11,650.0","11,250.0","11,800.0","11,200.0","10.10M","4.02%"
"05/27/2024","11,200.0","11,150.0","11,250.0","11,000.0","2.08M","1.82%"
"05/24/2024","11,000.0","11,400.0","11,750.0","10,800.0","13.31M","-3.93%"
"05/23/2024","11,450.0","11,300.0","11,500.0","11,200.0","3.64M","1.33%"
"05/22/2024","11,300.0","11,650.0","11,700.0","11,300.0","4.69M","-2.16%"
"05/21/2024","11,550.0","11,450.0","11,750.0","11,200.0","7.57M","0.87%"
"05/20/2024","11,450.0","11,800.0","11,800.0","11,400.0","4.74M","-0.43%"
"05/17/2024","11,500.0","11,150.0","11,600.0","11,000.0","10.32M","3.60%"
"05/16/2024","11,100.0","11,300.0","11,300.0","11,000.0","4.22M","0.00%"
"05/15/2024","11,100.0","11,050.0","11,300.0","11,050.0","2.77M","0.00%"
"05/14/2024","11,100.0","11,250.0","11,250.0","11,050.0","2.47M","-0.45%"
"05/13/2024","11,150.0","11,050.0","11,400.0","11,050.0","5.85M","2.29%"
"05/10/2024","10,900.0","10,700.0","11,100.0","10,700.0","5.65M","2.35%"
"05/09/2024","10,650.0","10,800.0","10,850.0","10,550.0","1.69M","-0.47%"
"05/08/2024","10,700.0","10,600.0","10,750.0","10,450.0","1.82M","0.47%"
"05/07/2024","10,650.0","10,500.0","10,850.0","10,450.0","4.83M","1.43%"
"05/06/2024","10,500.0","10,150.0","10,500.0","10,050.0","2.90M","4.48%"
"05/03/2024","10,050.0","10,100.0","10,250.0","10,000.0","1.39M","-0.50%"
"05/02/2024","10,100.0","10,250.0","10,250.0","9,980.0","2.00M","3.27%"
"04/26/2024","9,780.0","9,680.0","9,860.0","9,620.0","2.10M","0.62%"
"04/25/2024","9,720.0","9,780.0","9,800.0","9,680.0","1.19M","-0.72%"
"04/24/2024","9,790.0","9,590.0","9,830.0","9,550.0","2.04M","3.27%"
"04/23/2024","9,480.0","9,660.0","9,670.0","9,400.0","1.82M","-1.86%"
"04/22/2024","9,660.0","9,630.0","9,720.0","9,390.0","1.70M","1.68%"
"04/19/2024","9,500.0","9,600.0","9,790.0","9,500.0","2.80M","-4.04%"
"04/17/2024","9,900.0","9,950.0","10,200.0","9,820.0","2.11M","0.00%"
"04/16/2024","9,900.0","10,050.0","10,200.0","9,500.0","4.63M","-1.49%"
"04/15/2024","10,050.0","10,700.0","10,750.0","10,050.0","5.51M","-6.94%"
"04/12/2024","10,800.0","10,800.0","10,900.0","10,650.0","3.47M","0.47%"
"04/11/2024","10,750.0","10,900.0","10,950.0","10,750.0","4.77M","-2.27%"
"04/10/2024","11,000.0","11,050.0","11,200.0","11,000.0","2.22M","0.00%"
"04/09/2024","11,000.0","11,000.0","11,050.0","10,900.0","2.78M","0.00%"
"04/08/2024","11,000.0","11,250.0","11,300.0","11,000.0","3.05M","-2.22%"
