"Date","Price","Open","High","Low","Vol.","Change %"
"09/11/2024","7.630","7.720","7.760","7.460","320.28K","-0.52%"
"09/10/2024","7.670","7.810","7.810","7.550","265.39K","-2.29%"
"09/09/2024","7.850","7.520","7.950","7.520","443.07K","7.09%"
"09/06/2024","7.330","7.560","7.640","7.170","390.09K","-3.68%"
"09/05/2024","7.610","7.730","7.845","7.540","552.62K","-0.65%"
"09/04/2024","7.660","7.800","8.010","7.630","446.32K","-3.04%"
"09/03/2024","7.900","8.250","8.510","7.865","584.80K","-3.30%"
"08/30/2024","8.170","8.110","8.240","8.050","312.80K","0.62%"
"08/29/2024","8.120","8.030","8.280","7.980","417.90K","1.50%"
"08/28/2024","8.000","8.250","8.310","7.940","299.28K","-3.73%"
"08/27/2024","8.310","8.490","8.480","7.990","459.85K","-4.70%"
"08/26/2024","8.720","8.790","8.900","8.630","288.01K","-1.02%"
"08/23/2024","8.810","8.450","8.910","8.440","1.11M","5.26%"
"08/22/2024","8.370","8.800","8.800","8.290","762.16K","-3.57%"
"08/21/2024","8.680","8.670","8.810","8.590","492.78K","0.58%"
"08/20/2024","8.630","9.270","9.290","8.620","517.01K","-6.80%"
"08/19/2024","9.260","9.520","9.640","9.170","490.68K","-3.04%"
"08/16/2024","9.550","9.550","9.640","9.280","837.09K","-0.10%"
"08/15/2024","9.560","9.550","9.870","9.440","926.87K","1.16%"
"08/14/2024","9.450","9.190","9.580","9.090","2.00M","2.94%"
"08/13/2024","9.180","8.870","9.180","9.180","1.23M","3.38%"
"08/12/2024","8.880","8.960","9.180","8.710","1.05M","0.23%"
"08/09/2024","8.860","9.500","9.500","8.690","1.16M","-8.28%"
"08/08/2024","9.660","8.820","9.750","8.620","1.33M","12.46%"
"08/07/2024","8.590","8.560","9.350","8.200","1.76M","5.92%"
"08/06/2024","8.110","7.990","8.230","7.850","563.06K","-1.34%"
"08/02/2024","8.220","8.090","8.270","8.020","464.78K","-1.91%"
"08/01/2024","8.380","8.530","8.670","8.310","1.60M","-0.95%"
"07/31/2024","8.460","8.130","8.680","8.020","1.64M","4.19%"
"07/30/2024","8.120","8.440","8.625","7.980","1.20M","-2.05%"
"07/29/2024","8.290","8.180","8.650","8.150","733.95K","1.47%"
"07/26/2024","8.170","8.050","8.250","8.020","384.34K","1.74%"
"07/25/2024","8.030","8.050","8.270","7.950","476.66K","1.01%"
"07/24/2024","7.950","8.360","8.400","7.850","679.26K","-5.69%"
"07/23/2024","8.430","8.420","8.670","8.360","1.46M","-1.75%"
"07/22/2024","8.580","8.120","8.600","7.930","2.20M","8.88%"
