Date,Price_Diff,MA30,MA90
09/11/2024,,,
09/10/2024,200.0,,
09/09/2024,550.0,,
09/06/2024,250.0,,
09/05/2024,-600.0,,
09/04/2024,250.0,,
08/30/2024,-50.0,,
08/29/2024,400.0,,
08/28/2024,300.0,,
08/27/2024,890.0,,
08/26/2024,-290.0,,
08/23/2024,300.0,,
08/22/2024,-200.0,,
08/21/2024,-200.0,,
08/20/2024,-1080.0,,
08/19/2024,-1120.0,,
08/16/2024,-400.0,,
08/15/2024,-850.0,,
08/14/2024,400.0,,
08/13/2024,-400.0,,
08/12/2024,150.0,,
08/09/2024,-100.0,,
08/08/2024,-700.0,,
08/07/2024,400.0,,
08/06/2024,350.0,,
08/05/2024,-650.0,,
08/02/2024,1650.0,,
08/01/2024,-950.0,,
07/31/2024,800.0,,
07/30/2024,-800.0,48155.333333333336,
07/29/2024,300.0,48115.333333333336,
07/26/2024,-850.0,48040.333333333336,
07/25/2024,-250.0,47938.666666666664,
07/24/2024,100.0,47832.0,
07/23/2024,-100.0,47742.0,
07/22/2024,1700.0,47700.333333333336,
07/19/2024,0.0,47660.333333333336,
07/18/2024,800.0,47633.666666666664,
07/17/2024,-500.0,47580.333333333336,
07/16/2024,-850.0,47469.0,
07/15/2024,-600.0,47347.333333333336,
07/12/2024,50.0,47217.333333333336,
07/11/2024,200.0,47100.666666666664,
07/10/2024,100.0,46994.0,
07/09/2024,600.0,46943.333333333336,
07/08/2024,-500.0,46913.333333333336,
07/05/2024,300.0,46906.666666666664,
07/04/2024,0.0,46928.333333333336,
07/03/2024,-100.0,46933.333333333336,
07/02/2024,-1450.0,46903.333333333336,
07/01/2024,-1850.0,46806.666666666664,
06/28/2024,-650.0,46691.666666666664,
06/27/2024,850.0,46628.333333333336,
06/26/2024,400.0,46565.0,
06/25/2024,-300.0,46480.0,
06/24/2024,800.0,46443.333333333336,
06/21/2024,600.0,46371.666666666664,
06/20/2024,-100.0,46328.333333333336,
06/19/2024,600.0,46278.333333333336,
06/18/2024,400.0,46268.333333333336,
06/17/2024,0.0,46248.333333333336,
06/14/2024,1000.0,46290.0,
06/13/2024,850.0,46368.333333333336,
06/12/2024,-450.0,46428.333333333336,
06/11/2024,-550.0,46473.333333333336,
06/10/2024,300.0,46471.666666666664,
06/07/2024,100.0,46473.333333333336,
06/06/2024,150.0,46453.333333333336,
06/05/2024,-250.0,46441.666666666664,
06/04/2024,-50.0,46456.666666666664,
06/03/2024,-300.0,46481.666666666664,
05/31/2024,-200.0,46498.333333333336,
05/30/2024,600.0,46528.333333333336,
05/29/2024,900.0,46585.0,
05/28/2024,500.0,46638.333333333336,
05/27/2024,-200.0,46701.666666666664,
05/24/2024,300.0,46765.0,
05/23/2024,300.0,46838.333333333336,
05/22/2024,300.0,46925.0,
05/21/2024,200.0,47066.666666666664,
05/20/2024,-400.0,47256.666666666664,
05/17/2024,-250.0,47460.0,
05/16/2024,250.0,47643.333333333336,
05/15/2024,-1000.0,47780.0,
05/14/2024,-500.0,47910.0,
05/13/2024,500.0,48030.0,
05/10/2024,450.0,48145.0,
05/09/2024,450.0,48278.333333333336,
05/08/2024,300.0,48401.666666666664,
05/07/2024,200.0,48518.333333333336,47647.333333333336
05/06/2024,500.0,48651.666666666664,47671.77777777778
05/03/2024,-1300.0,48708.333333333336,47679.555555555555
05/02/2024,0.0,48736.666666666664,47681.22222222222
04/26/2024,0.0,48780.0,47680.11111111111
04/25/2024,400.0,48855.0,47690.11111111111
04/24/2024,400.0,48933.333333333336,47701.77777777778
04/23/2024,-600.0,48988.333333333336,47707.333333333336
04/22/2024,700.0,49061.666666666664,47716.22222222222
04/19/2024,-1750.0,49085.0,47702.333333333336
04/17/2024,-250.0,49101.666666666664,47675.77777777778
04/16/2024,2200.0,49201.666666666664,47676.88888888889
04/15/2024,-600.0,49288.333333333336,47668.0
04/12/2024,3700.0,49478.333333333336,47702.444444444445
04/11/2024,-400.0,49625.0,47734.666666666664
04/10/2024,-1000.0,49721.666666666664,47767.77777777778
04/09/2024,700.0,49848.333333333336,47821.11111111111
04/08/2024,-1900.0,49901.666666666664,47857.77777777778
04/05/2024,-600.0,49925.0,47897.22222222222
04/04/2024,800.0,49965.0,47941.11111111111
04/03/2024,0.0,49998.333333333336,47989.444444444445
04/02/2024,900.0,50075.0,48046.11111111111
04/01/2024,200.0,50166.666666666664,48106.11111111111
03/29/2024,0.0,50250.0,48173.88888888889
03/28/2024,500.0,50383.333333333336,48242.77777777778
03/27/2024,-100.0,50530.0,48306.666666666664
03/26/2024,500.0,50676.666666666664,48383.333333333336
03/25/2024,0.0,50808.333333333336,48441.666666666664
03/22/2024,1200.0,50965.0,48523.88888888889
03/21/2024,-1200.0,51071.666666666664,48583.88888888889
03/20/2024,0.0,51171.666666666664,48652.77777777778
03/19/2024,-1400.0,51208.333333333336,48702.77777777778
03/18/2024,400.0,51301.666666666664,48766.666666666664
03/15/2024,200.0,51401.666666666664,48835.555555555555
03/14/2024,-500.0,51485.0,48897.77777777778
03/13/2024,900.0,51585.0,48971.11111111111
03/12/2024,-600.0,51651.666666666664,49018.88888888889
03/11/2024,-1500.0,51688.333333333336,49050.0
03/08/2024,600.0,51721.666666666664,49078.88888888889
03/07/2024,2200.0,51886.666666666664,49137.77777777778
03/06/2024,1100.0,52096.666666666664,49218.333333333336
03/05/2024,0.0,52233.333333333336,49305.555555555555
03/04/2024,-900.0,52360.0,49382.22222222222
03/01/2024,0.0,52363.333333333336,49456.666666666664
02/29/2024,-500.0,52363.333333333336,49524.444444444445
02/28/2024,900.0,52426.666666666664,49595.555555555555
02/27/2024,-900.0,52436.666666666664,49662.22222222222
02/26/2024,600.0,52530.0,49732.22222222222
02/23/2024,-1600.0,52590.0,49784.444444444445
02/22/2024,-2250.0,52548.333333333336,49812.77777777778
02/21/2024,0.0,52506.666666666664,49857.22222222222
02/20/2024,-350.0,52423.333333333336,49918.333333333336
02/19/2024,-100.0,52330.0,49985.555555555555
02/16/2024,-750.0,52211.666666666664,50035.0
02/15/2024,400.0,52090.0,50084.444444444445
02/07/2024,0.0,51971.666666666664,50137.22222222222
02/06/2024,-150.0,51831.666666666664,50179.444444444445
02/05/2024,-150.0,51686.666666666664,50213.333333333336
02/02/2024,-1750.0,51443.333333333336,50228.88888888889
02/01/2024,350.0,51251.666666666664,50241.666666666664
01/31/2024,450.0,51075.0,50255.0
01/30/2024,750.0,50970.0,50276.666666666664
01/29/2024,250.0,50860.0,50290.0
01/26/2024,250.0,50751.666666666664,50296.666666666664
01/25/2024,-550.0,50641.666666666664,50302.22222222222
01/24/2024,500.0,50518.333333333336,50319.444444444445
01/23/2024,500.0,50431.666666666664,50338.88888888889
01/22/2024,400.0,50408.333333333336,50361.666666666664
01/19/2024,50.0,50366.666666666664,50383.333333333336
01/18/2024,-2350.0,50173.333333333336,50381.666666666664
01/17/2024,-650.0,49921.666666666664,50373.333333333336
01/16/2024,50.0,49671.666666666664,50368.88888888889
01/15/2024,-300.0,49441.666666666664,50363.333333333336
01/12/2024,-600.0,49191.666666666664,50344.444444444445
01/11/2024,500.0,48975.0,50321.11111111111
01/10/2024,900.0,48758.333333333336,50302.22222222222
01/09/2024,-1350.0,48526.666666666664,50270.555555555555
01/08/2024,350.0,48286.666666666664,50239.444444444445
01/05/2024,-1900.0,48036.666666666664,50183.88888888889
01/04/2024,-850.0,47833.333333333336,50115.555555555555
01/03/2024,150.0,47635.0,50046.666666666664
01/02/2024,-800.0,47421.666666666664,49973.333333333336
12/29/2023,400.0,47225.0,49907.22222222222
12/28/2023,-700.0,47030.0,49830.555555555555
12/27/2023,300.0,46831.666666666664,49768.333333333336
12/26/2023,0.0,46633.333333333336,49711.666666666664
12/25/2023,200.0,46446.666666666664,49651.666666666664
12/22/2023,-750.0,46240.0,49578.333333333336
12/21/2023,-650.0,46070.0,49492.77777777778
12/20/2023,-500.0,45871.666666666664,49398.333333333336
12/19/2023,-100.0,45655.0,49300.555555555555
12/18/2023,-200.0,45406.666666666664,49195.0
12/15/2023,500.0,45166.666666666664,49109.444444444445
12/14/2023,100.0,44921.666666666664,49025.0
12/13/2023,0.0,44695.0,48940.555555555555
12/12/2023,300.0,44461.666666666664,48855.0
12/11/2023,-500.0,44195.0,48759.444444444445
12/08/2023,500.0,43931.666666666664,48676.11111111111
12/07/2023,-1300.0,43623.333333333336,48570.555555555555
12/06/2023,-600.0,43373.333333333336,48477.77777777778
12/05/2023,-350.0,43133.333333333336,48383.88888888889
12/04/2023,150.0,42896.666666666664,48267.22222222222
12/01/2023,-400.0,42656.666666666664,48152.77777777778
11/30/2023,-550.0,42418.333333333336,47991.11111111111
11/29/2023,450.0,42178.333333333336,47838.88888888889
11/28/2023,-450.0,41893.333333333336,47692.77777777778
11/27/2023,-692.0,41630.26666666667,47531.2
11/24/2023,577.0,41374.76666666667,47397.14444444444
11/23/2023,-577.0,41163.36666666667,47263.34444444445
11/22/2023,532.0,40998.03333333333,47126.566666666666
11/21/2023,311.0,40838.066666666666,46993.24444444444
11/20/2023,-710.0,40681.1,46842.03333333333
11/17/2023,-222.0,40503.4,46686.13333333333
11/16/2023,754.0,40374.166666666664,46538.61111111111
11/15/2023,355.0,40246.76666666667,46389.47777777778
11/14/2023,-1020.0,40085.36666666667,46230.12222222222
11/13/2023,-799.0,39890.666666666664,46056.333333333336
11/10/2023,89.0,39723.933333333334,45883.53333333333
11/09/2023,577.0,39598.1,45703.811111111114
11/08/2023,44.0,39490.4,45537.91111111111
11/07/2023,-976.0,39353.5,45361.166666666664
11/06/2023,0.0,39223.26666666667,45199.97777777778
11/03/2023,-266.0,39067.5,45031.38888888889
11/02/2023,133.0,38912.833333333336,44862.055555555555
11/01/2023,-1464.0,38709.36666666667,44682.01111111111
10/31/2023,177.0,38501.8,44493.933333333334
10/30/2023,710.0,38334.566666666666,44320.41111111111
10/27/2023,887.0,38180.23333333333,44173.41111111111
10/26/2023,-1286.0,38026.36666666667,44005.455555555556
10/25/2023,177.0,37898.4,43815.02222222222
10/24/2023,488.0,37798.36666666667,43617.78888888889
10/23/2023,-887.0,37663.76666666667,43410.7
10/20/2023,177.0,37548.4,43215.57777777778
10/19/2023,-266.0,37442.5,43017.5
10/18/2023,-177.0,37315.7,42823.01111111111
10/17/2023,1153.0,37242.333333333336,42631.333333333336
10/16/2023,311.0,37202.4,42453.11111111111
10/13/2023,754.0,37168.36666666667,42276.6
10/12/2023,-311.0,37143.2,42114.41111111111
10/11/2023,-133.0,37095.86666666667,41975.74444444444
10/10/2023,45.0,37039.666666666664,41837.57777777778
10/09/2023,-89.0,37004.166666666664,41702.311111111114
10/06/2023,222.0,36983.46666666667,41570.62222222222
10/05/2023,-533.0,36919.86666666667,41441.34444444445
10/04/2023,799.0,36871.066666666666,41316.5
10/03/2023,-843.0,36828.166666666664,41182.28888888889
10/02/2023,2130.0,36882.9,41073.41111111111
09/29/2023,355.0,36946.5,40970.14444444444
09/28/2023,0.0,36990.86666666667,40886.322222222225
09/27/2023,44.0,37035.23333333333,40799.1
09/26/2023,-44.0,37110.666666666664,40706.38888888889
09/25/2023,665.0,37208.26666666667,40612.73333333333
09/22/2023,843.0,37342.833333333336,40525.666666666664
09/21/2023,-754.0,37447.833333333336,40427.444444444445
09/20/2023,444.0,37616.433333333334,40340.26666666667
09/19/2023,-444.0,37764.333333333336,40242.6
09/18/2023,488.0,37904.833333333336,40144.8
09/15/2023,932.0,38046.833333333336,40052.91111111111
09/14/2023,-45.0,38230.2,39959.96666666667
09/13/2023,222.0,38415.066666666666,39895.6
09/12/2023,0.0,38583.666666666664,39838.455555555556
09/11/2023,-443.0,38767.066666666666,39775.833333333336
09/08/2023,443.0,38959.333333333336,39721.46666666667
09/07/2023,311.0,39170.833333333336,39677.22222222222
09/06/2023,-44.0,39386.76666666667,39626.933333333334
09/05/2023,177.0,39570.166666666664,39568.61111111111
08/31/2023,-488.0,39726.933333333334,39519.86666666667
08/30/2023,-666.0,39836.36666666667,39459.833333333336
08/29/2023,-355.0,39944.333333333336,39416.96666666667
08/28/2023,-354.0,40044.933333333334,39379.61111111111
08/25/2023,-178.0,40138.1,39338.61111111111
08/24/2023,532.0,40251.96666666667,39312.41111111111
08/23/2023,-88.0,40355.5,39280.78888888889
08/22/2023,88.0,40479.73333333333,39257.92222222222
08/21/2023,-177.0,40571.433333333334,39229.75555555556
08/18/2023,-1242.0,40649.833333333336,39187.78888888889
08/17/2023,2573.0,40743.0,39172.188888888886
08/16/2023,355.0,40836.166666666664,39168.86666666667
08/15/2023,-444.0,40914.53333333333,39167.833333333336
08/14/2023,533.0,41009.2,39178.27777777778
08/11/2023,-799.0,41078.7,39180.955555555556
08/10/2023,-177.0,41120.13333333333,39183.88888888889
08/09/2023,1508.0,41183.73333333333,39198.02222222222
08/08/2023,400.0,41285.8,39215.48888888889
08/07/2023,177.0,41378.96666666667,39234.92222222222
08/04/2023,-399.0,41473.63333333333,39246.58888888889
08/03/2023,133.0,41556.46666666667,39265.28888888889
08/02/2023,488.0,41624.5,39283.85555555556
08/01/2023,-799.0,41667.4,39307.98888888889
07/31/2023,-887.0,41673.333333333336,39328.933333333334
07/28/2023,-444.0,41664.46666666667,39348.833333333336
07/27/2023,0.0,41670.36666666667,39367.066666666666
07/26/2023,577.0,41680.73333333333,39396.15555555555
07/25/2023,-178.0,41674.8,39429.37777777778
07/24/2023,-310.0,41660.0,39454.15555555555
07/21/2023,-45.0,41637.8,39483.433333333334
07/20/2023,-443.0,41617.1,39515.47777777778
07/19/2023,0.0,41618.6,39541.11111111111
07/18/2023,399.0,41645.23333333333,39577.58888888889
07/17/2023,-444.0,41668.86666666667,39603.22222222222
07/14/2023,488.0,41714.7,39630.822222222225
07/13/2023,134.0,41747.26666666667,39667.8
07/12/2023,-178.0,41776.833333333336,39705.26666666667
07/11/2023,-133.0,41799.03333333333,39732.87777777778
07/10/2023,355.0,41838.96666666667,39760.48888888889
07/07/2023,-2352.0,41841.9,39773.3
07/06/2023,-310.0,41748.73333333333,39791.544444444444
07/05/2023,355.0,41655.566666666666,39812.74444444444
07/04/2023,-311.0,41566.833333333336,39824.07777777778
07/03/2023,444.0,41475.13333333333,39839.85555555556
06/30/2023,-1021.0,41376.03333333333,39855.13333333333
06/29/2023,1021.0,41316.86666666667,39881.75555555556
