"Date","Price","Open","High","Low","Vol.","Change %"
"06/07/2024","32,700.0","32,600.0","33,000.0","32,600.0","3.65M","0.31%"
"06/06/2024","32,600.0","32,500.0","32,700.0","32,350.0","7.44M","0.62%"
"06/05/2024","32,400.0","32,900.0","32,950.0","32,400.0","8.38M","-1.22%"
"06/04/2024","32,800.0","32,700.0","32,950.0","32,450.0","8.84M","0.61%"
"06/03/2024","32,600.0","32,250.0","32,800.0","32,050.0","9.93M","2.19%"
"05/31/2024","31,900.0","31,800.0","32,200.0","31,800.0","6.19M","0.31%"
"05/30/2024","31,800.0","31,350.0","32,100.0","31,350.0","9.62M","0.47%"
"05/29/2024","31,650.0","32,200.0","32,200.0","31,650.0","15.63M","-1.71%"
"05/28/2024","32,200.0","32,450.0","32,500.0","31,700.0","24.69M","-0.62%"
"05/27/2024","32,400.0","32,700.0","32,700.0","32,100.0","8.22M","-0.31%"
"05/24/2024","32,500.0","33,100.0","33,900.0","32,300.0","13.92M","-2.26%"
"05/23/2024","33,250.0","32,950.0","33,250.0","32,600.0","5.57M","0.76%"
"05/22/2024","33,000.0","33,850.0","33,900.0","32,700.0","11.64M","-1.93%"
"05/21/2024","33,650.0","33,450.0","34,100.0","33,350.0","6.08M","0.90%"
"05/20/2024","33,350.0","33,300.0","33,900.0","33,050.0","12.15M","0.76%"
"05/17/2024","33,100.0","33,350.0","33,400.0","32,900.0","5.95M","-0.30%"
"05/16/2024","33,200.0","32,800.0","33,700.0","32,550.0","14.19M","2.63%"
"05/15/2024","32,350.0","32,450.0","33,000.0","32,250.0","7.93M","0.15%"
"05/14/2024","32,300.0","32,400.0","32,700.0","32,250.0","5.64M","0.00%"
"05/13/2024","32,300.0","32,850.0","32,850.0","32,250.0","7.00M","-1.67%"
"05/10/2024","32,850.0","33,150.0","33,150.0","32,550.0","4.66M","-0.15%"
"05/09/2024","32,900.0","32,800.0","33,400.0","32,450.0","7.20M","0.92%"
"05/08/2024","32,600.0","32,650.0","33,000.0","32,350.0","8.40M","-0.61%"
"05/07/2024","32,800.0","33,200.0","33,250.0","32,800.0","4.94M","-1.20%"
