Date,Price,Price After Diff,MA30 Before Diff,MA90 Before Diff
2015-01-05,11947.7,,,
2015-01-06,12022.7,75.0,,
2015-01-07,12097.7,75.0,,
2015-01-08,11972.7,-125.0,,
2015-01-09,12072.7,100.0,,
2015-01-12,12147.6,74.89999999999964,,
2015-01-13,12172.6,25.0,,
2015-01-14,12147.6,-25.0,,
2015-01-15,12172.6,25.0,,
2015-01-16,12122.7,-49.899999999999636,,
2015-01-19,11997.7,-125.0,,
2015-01-20,11997.7,0.0,,
2015-01-21,12097.7,100.0,,
2015-01-22,12047.7,-50.0,,
2015-01-23,12097.7,50.0,,
2015-01-26,12097.7,0.0,,
2015-01-27,11997.7,-100.0,,
2015-01-28,11972.7,-25.0,,
2015-01-29,11972.7,0.0,,
2015-01-30,11872.7,-100.0,,
2015-02-02,11847.7,-25.0,,
2015-02-03,11747.7,-100.0,,
2015-02-04,11722.7,-25.0,,
2015-02-05,11797.7,75.0,,
2015-02-06,11822.7,25.0,,
2015-02-09,11797.7,-25.0,,
2015-02-10,11772.7,-25.0,,
2015-02-11,11872.7,100.0,,
2015-02-12,11947.7,75.0,,
2015-02-13,11997.7,50.0,11978.52,
2015-02-24,12147.6,149.89999999999964,11985.183333333332,
2015-02-25,12122.7,-24.899999999999636,11988.516666666666,
2015-02-26,12247.6,124.89999999999964,11993.513333333334,
2015-02-27,12197.6,-50.0,12001.010000000002,
2015-03-02,12122.7,-74.89999999999964,12002.676666666668,
2015-03-03,12222.6,99.89999999999964,12005.176666666668,
2015-03-04,12497.6,275.0,12016.01,
2015-03-05,12497.6,0.0,12027.676666666668,
2015-03-06,12497.6,0.0,12038.51,
2015-03-09,12297.6,-200.0,12044.34,
2015-03-10,12422.6,125.0,12058.503333333334,
2015-03-11,12372.6,-50.0,12071.0,
2015-03-12,12297.6,-75.0,12077.663333333334,
2015-03-13,12297.6,0.0,12085.993333333334,
2015-03-16,12347.6,50.0,12094.323333333334,
2015-03-17,12497.6,150.0,12107.653333333334,
2015-03-18,12397.6,-100.0,12120.983333333334,
2015-03-19,12372.6,-25.0,12134.313333333334,
2015-03-20,12447.6,75.0,12150.143333333333,
2015-03-23,12347.6,-100.0,12165.973333333333,
2015-03-24,12272.6,-75.0,12180.136666666667,
2015-03-25,12297.6,25.0,12198.466666666667,
2015-03-26,12322.6,25.0,12218.463333333335,
2015-03-27,12297.6,-25.0,12235.126666666667,
2015-03-30,12097.7,-199.89999999999964,12244.293333333333,
2015-03-31,12097.7,0.0,12254.293333333333,
2015-04-01,11922.7,-175.0,12259.293333333335,
2015-04-02,12022.7,100.0,12264.293333333335,
2015-04-03,12197.6,174.89999999999964,12272.623333333333,
2015-04-06,12122.7,-74.89999999999964,12276.79,
2015-04-07,12222.6,99.89999999999964,12279.29,
2015-04-08,12222.6,0.0,12282.62,
