Date,Price_Diff,MA30,MA90
09/11/2024,,,
09/10/2024,-600.0,,
09/09/2024,1300.0,,
09/06/2024,700.0,,
09/05/2024,-1400.0,,
09/04/2024,2400.0,,
08/30/2024,1800.0,,
08/29/2024,-1640.0,,
08/28/2024,80.0,,
08/27/2024,-740.0,,
08/26/2024,-390.0,,
08/23/2024,850.0,,
08/22/2024,1020.0,,
08/21/2024,-480.0,,
08/20/2024,-2000.0,,
08/19/2024,-1140.0,,
08/16/2024,240.0,,
08/15/2024,-1900.0,,
08/14/2024,-2280.0,,
08/13/2024,2180.0,,
08/12/2024,980.0,,
08/09/2024,-4880.0,,
08/08/2024,-3020.0,,
08/07/2024,320.0,,
08/06/2024,-1310.0,,
08/05/2024,-2090.0,,
08/02/2024,4600.0,,
08/01/2024,1600.0,,
07/31/2024,3800.0,,
07/30/2024,-600.0,129059.33333333333,
07/29/2024,1000.0,129006.0,
07/26/2024,-1000.0,128939.33333333333,
07/25/2024,-3000.0,128729.33333333333,
07/24/2024,1000.0,128529.33333333333,
07/23/2024,-500.0,128359.33333333333,
07/22/2024,-1400.0,128062.66666666667,
07/19/2024,1900.0,127769.33333333333,
07/18/2024,1900.0,127594.0,
07/17/2024,4000.0,127549.33333333333,
07/16/2024,2100.0,127599.33333333333,
07/15/2024,-1300.0,127619.0,
07/12/2024,1100.0,127647.0,
07/11/2024,-800.0,127614.33333333333,
07/10/2024,1000.0,127631.0,
07/09/2024,3500.0,127831.0,
07/08/2024,2100.0,128139.0,
07/05/2024,-900.0,128409.0,
07/04/2024,-2900.0,128645.66666666667,
07/03/2024,-4800.0,128798.33333333333,
07/02/2024,-3000.0,128778.33333333333,
07/01/2024,600.0,128745.66666666667,
06/28/2024,1900.0,128939.0,
06/27/2024,2300.0,129309.66666666667,
06/26/2024,-1000.0,129636.33333333333,
06/25/2024,-1800.0,129946.66666666667,
06/24/2024,2100.0,130396.66666666667,
06/21/2024,4000.0,130826.66666666667,
06/20/2024,-2800.0,131110.0,
06/19/2024,-1800.0,131206.66666666666,
06/18/2024,-3500.0,131206.66666666666,
06/17/2024,800.0,131200.0,
06/14/2024,2200.0,131300.0,
06/13/2024,-1000.0,131466.66666666666,
06/12/2024,2000.0,131666.66666666666,
06/11/2024,14500.0,132366.66666666666,
06/10/2024,-2500.0,133030.0,
06/07/2024,-2000.0,133563.33333333334,
06/06/2024,-2400.0,133953.33333333334,
06/05/2024,500.0,134226.66666666666,
06/04/2024,-1000.0,134396.66666666666,
06/03/2024,-2200.0,134536.66666666666,
05/31/2024,-2300.0,134563.33333333334,
05/30/2024,400.0,134630.0,
05/29/2024,700.0,134686.66666666666,
05/28/2024,1300.0,134670.0,
05/27/2024,-4200.0,134443.33333333334,
05/24/2024,-900.0,134216.66666666666,
05/23/2024,5600.0,134273.33333333334,
05/22/2024,500.0,134506.66666666666,
05/21/2024,-2000.0,134773.33333333334,
05/20/2024,-3000.0,134920.0,
05/17/2024,1500.0,135053.33333333334,
05/16/2024,900.0,135140.0,
05/15/2024,-1300.0,135216.66666666666,
05/14/2024,-3600.0,135233.33333333334,
05/13/2024,-800.0,135153.33333333334,
05/10/2024,1300.0,134983.33333333334,
05/09/2024,-700.0,134883.33333333334,
05/08/2024,700.0,134866.66666666666,
05/07/2024,300.0,134976.66666666666,131747.55555555556
05/06/2024,-3700.0,134936.66666666666,131714.22222222222
05/03/2024,-1700.0,134766.66666666666,131668.66666666666
05/02/2024,1400.0,134676.66666666666,131624.22222222222
04/26/2024,-4100.0,134383.33333333334,131526.44444444444
04/25/2024,0.0,133606.66666666666,131444.22222222222
04/24/2024,-3100.0,132810.0,131300.88888888888
04/23/2024,-7800.0,131820.0,131050.88888888889
04/22/2024,-2000.0,130843.33333333333,130796.88888888889
04/19/2024,-1300.0,129806.66666666667,130527.55555555556
04/17/2024,2800.0,128896.66666666667,130297.55555555556
04/16/2024,1200.0,128100.0,130085.22222222222
04/15/2024,-1400.0,127333.33333333333,129847.88888888889
04/12/2024,3900.0,126683.33333333333,129642.55555555556
04/11/2024,-600.0,125990.0,129435.88888888889
04/10/2024,-1100.0,125216.66666666667,129239.22222222222
04/09/2024,-800.0,124556.66666666667,129046.33333333333
04/08/2024,-400.0,123913.33333333333,128846.33333333333
04/05/2024,1100.0,123120.0,128679.66666666667
04/04/2024,300.0,122320.0,128541.66666666667
04/03/2024,1100.0,121623.33333333333,128391.66666666667
04/02/2024,1900.0,121090.0,128251.88888888889
04/01/2024,-200.0,120500.0,128164.11111111111
03/29/2024,-300.0,119870.0,128106.55555555556
03/28/2024,600.0,119303.33333333333,128052.11111111111
03/27/2024,-1900.0,118793.33333333333,127991.11111111111
03/26/2024,-200.0,118303.33333333333,127951.11111111111
