Date,Price,Stock_Name
2015-01-05,5850.8,AAA
2015-01-06,5935.6,AAA
2015-01-07,6147.5,AAA
2015-01-08,6020.4,AAA
2015-01-09,5893.2,AAA
2015-01-12,5723.6,AAA
2015-01-13,5850.8,AAA
2015-01-14,5850.8,AAA
2015-01-15,5808.4,AAA
2015-01-16,5808.4,AAA
2015-01-19,5766.0,AAA
2015-01-20,5681.2,AAA
2015-01-21,5681.2,AAA
2015-01-22,5723.6,AAA
2015-01-23,5723.6,AAA
2015-01-26,5766.0,AAA
2015-01-27,5638.8,AAA
2015-01-28,5596.4,AAA
2015-01-29,5638.8,AAA
2015-01-30,5511.6,AAA
2015-02-02,5511.6,AAA
2015-02-03,5469.2,AAA
2015-02-04,5511.6,AAA
2015-02-05,5469.2,AAA
2015-02-06,5511.6,AAA
2015-02-09,5511.6,AAA
2015-02-10,5511.6,AAA
2015-02-11,5469.2,AAA
2015-02-12,5511.6,AAA
2015-02-13,5511.6,AAA
2015-02-24,5554.0,AAA
2015-02-25,5554.0,AAA
2015-02-26,5511.6,AAA
2015-02-27,5766.0,AAA
2015-03-02,5638.8,AAA
2015-03-03,5723.6,AAA
2015-03-04,5723.6,AAA
2015-03-05,5808.4,AAA
2015-03-06,5766.0,AAA
2015-03-09,5681.2,AAA
2015-03-10,5681.2,AAA
2015-03-11,5638.8,AAA
2015-03-12,5638.8,AAA
2015-03-13,5596.4,AAA
2015-03-16,5511.6,AAA
2015-03-17,5554.0,AAA
2015-03-18,5469.2,AAA
2015-03-19,5554.0,AAA
2015-03-20,5554.0,AAA
2015-03-23,5511.6,AAA
2015-03-24,5554.0,AAA
2015-03-25,5511.6,AAA
2015-03-26,5511.6,AAA
2015-03-27,5426.8,AAA
2015-03-30,5257.2,AAA
2015-03-31,5342.0,AAA
2015-04-01,5214.8,AAA
2015-04-02,5299.6,AAA
2015-04-03,5257.2,AAA
2015-04-06,5257.2,AAA
2015-04-07,5299.6,AAA
2015-04-08,5384.4,AAA
2015-04-09,5511.6,AAA
2015-04-10,5426.8,AAA
2015-04-13,5299.6,AAA
2015-04-14,5299.6,AAA
2015-04-15,5342.0,AAA
2015-04-16,5257.2,AAA
2015-04-17,5511.6,AAA
2015-04-20,5511.6,AAA
2015-04-21,5511.6,AAA
2015-04-22,5511.6,AAA
2015-04-23,5469.2,AAA
2015-04-24,5511.6,AAA
2015-04-27,5511.6,AAA
2015-05-04,5511.6,AAA
2015-05-05,5469.2,AAA
2015-05-06,5384.4,AAA
2015-05-07,5511.6,AAA
2015-05-08,5511.6,AAA
2015-05-11,5511.6,AAA
2015-05-12,5554.0,AAA
2015-05-13,5723.6,AAA
2015-05-14,5808.4,AAA
2015-05-15,5766.0,AAA
2015-05-18,5511.6,AAA
2015-05-19,5384.4,AAA
2015-05-20,5511.6,AAA
2015-05-21,5469.2,AAA
2015-05-22,5511.6,AAA
2015-05-25,5638.8,AAA
2015-05-26,5596.4,AAA
2015-05-27,5554.0,AAA
2015-05-28,5638.8,AAA
2015-05-29,5638.8,AAA
2015-06-01,5596.4,AAA
2015-06-02,5511.6,AAA
2015-06-03,5554.0,AAA
2015-06-04,5511.6,AAA
2015-06-05,5596.4,AAA
2015-06-08,6020.4,AAA
2015-06-09,5808.4,AAA
2015-06-10,5808.4,AAA
2015-06-11,5808.4,AAA
2015-06-12,5681.2,AAA
2015-06-15,5596.4,AAA
2015-06-16,5511.6,AAA
2015-06-17,5638.8,AAA
2015-06-18,5766.0,AAA
2015-06-19,5638.8,AAA
2015-06-22,5596.4,AAA
2015-06-23,5554.0,AAA
2015-06-24,5596.4,AAA
2015-06-25,5511.6,AAA
2015-06-26,5511.6,AAA
2015-06-29,5511.6,AAA
2015-06-30,5511.6,AAA
2015-07-01,5511.6,AAA
2015-07-02,5554.0,AAA
2015-07-03,5681.2,AAA
2015-07-06,5638.8,AAA
2015-07-07,5723.6,AAA
2015-07-08,5681.2,AAA
2015-07-09,5638.8,AAA
2015-07-10,5723.6,AAA
2015-07-13,5850.8,AAA
2015-07-14,5850.8,AAA
2015-07-15,5850.8,AAA
2015-07-16,5808.4,AAA
2015-07-17,5766.0,AAA
2015-07-20,5638.8,AAA
2015-07-21,5723.6,AAA
2015-07-22,5808.4,AAA
2015-07-23,5808.4,AAA
2015-07-24,5681.2,AAA
2015-07-27,5808.4,AAA
2015-07-28,5766.0,AAA
2015-07-29,5723.6,AAA
2015-07-30,5723.6,AAA
2015-07-31,5723.6,AAA
2015-08-03,5723.6,AAA
2015-08-04,5723.6,AAA
2015-08-05,5723.6,AAA
2015-08-06,5723.6,AAA
2015-08-07,5681.2,AAA
2015-08-10,5638.8,AAA
2015-08-11,5596.4,AAA
2015-08-12,5596.4,AAA
2015-08-13,5469.2,AAA
2015-08-14,5469.2,AAA
2015-08-17,5469.2,AAA
2015-08-18,5426.8,AAA
2015-08-19,5766.0,AAA
2015-08-20,5681.2,AAA
2015-08-21,5596.4,AAA
2015-08-24,5087.6,AAA
2015-08-25,5214.8,AAA
2015-08-26,5384.4,AAA
2015-08-27,5257.2,AAA
2015-08-28,5299.6,AAA
2015-08-31,5257.2,AAA
2015-09-01,5087.6,AAA
2015-09-03,5130.0,AAA
2015-09-04,5214.8,AAA
2015-09-07,5214.8,AAA
2015-09-08,5172.4,AAA
2015-09-09,5172.4,AAA
2015-09-10,5087.6,AAA
2015-09-11,5214.8,AAA
2015-09-14,5214.8,AAA
2015-09-15,5130.0,AAA
2015-09-16,5214.8,AAA
2015-09-17,5214.8,AAA
2015-09-18,5257.2,AAA
2015-09-21,5214.8,AAA
2015-09-22,5257.2,AAA
2015-09-23,5214.8,AAA
2015-09-24,5426.8,AAA
2015-09-25,5638.8,AAA
2015-09-28,5617.6,AAA
2015-09-29,5458.6,AAA
2015-09-30,5458.6,AAA
2015-10-01,5405.6,AAA
2015-10-02,5564.6,AAA
2015-10-05,5670.6,AAA
2015-10-06,5723.6,AAA
2015-10-07,5723.6,AAA
2015-10-08,5617.6,AAA
2015-10-09,5670.6,AAA
2015-10-12,5670.6,AAA
2015-10-13,5723.6,AAA
2015-10-14,5723.6,AAA
2015-10-15,5617.6,AAA
2015-10-16,5405.6,AAA
2015-10-19,5511.6,AAA
2015-10-20,5458.6,AAA
2015-10-21,5458.6,AAA
2015-10-22,5511.6,AAA
2015-10-23,5511.6,AAA
2015-10-26,5511.6,AAA
2015-10-27,5352.6,AAA
2015-10-28,5405.6,AAA
2015-10-29,5458.6,AAA
2015-10-30,5988.6,AAA
2015-11-02,6200.5,AAA
2015-11-03,5988.6,AAA
2015-11-04,5829.6,AAA
2015-11-05,5776.6,AAA
2015-11-06,5882.6,AAA
2015-11-09,5988.6,AAA
2015-11-10,5935.6,AAA
2015-11-11,5776.6,AAA
2015-11-12,5617.6,AAA
2015-11-13,5670.6,AAA
2015-11-16,5564.6,AAA
2015-11-17,5564.6,AAA
2015-11-18,5617.6,AAA
2015-11-19,5829.6,AAA
2015-11-20,5935.6,AAA
2015-11-23,6041.6,AAA
2015-11-24,5935.6,AAA
2015-11-25,5988.6,AAA
2015-11-26,5988.6,AAA
2015-11-27,5882.6,AAA
2015-11-30,5723.6,AAA
2015-12-01,5829.6,AAA
2015-12-02,5829.6,AAA
2015-12-03,5723.6,AAA
2015-12-04,5935.6,AAA
2015-12-07,5935.6,AAA
2015-12-08,6041.6,AAA
2015-12-09,5988.6,AAA
2015-12-10,5829.6,AAA
2015-12-11,5882.6,AAA
2015-12-14,5882.6,AAA
2015-12-15,5935.6,AAA
2015-12-16,5935.6,AAA
2015-12-17,5988.6,AAA
2015-12-18,5935.6,AAA
2015-12-21,5829.6,AAA
2015-12-22,5776.6,AAA
2015-12-23,5776.6,AAA
2015-12-24,5723.6,AAA
2015-12-25,5776.6,AAA
2015-12-28,5988.6,AAA
2015-12-29,6094.6,AAA
2015-12-30,6624.5,AAA
2015-12-31,6518.5,AAA
2016-01-04,6677.5,AAA
2016-01-05,7154.5,AAA
2016-01-06,6995.5,AAA
2016-01-07,6995.5,AAA
2016-01-08,6942.5,AAA
2016-01-11,7313.5,AAA
2016-01-12,7578.4,AAA
2016-01-13,7366.5,AAA
2016-01-14,7684.4,AAA
2016-01-15,7896.4,AAA
2016-01-18,7631.4,AAA
2016-01-19,7684.4,AAA
2016-01-20,7790.4,AAA
2016-01-21,8320.4,AAA
2016-01-22,8214.4,AAA
2016-01-25,8214.4,AAA
2016-01-26,7419.5,AAA
2016-01-27,7472.4,AAA
2016-01-28,7525.4,AAA
2016-01-29,7207.5,AAA
2016-02-01,7525.4,AAA
2016-02-02,7631.4,AAA
2016-02-03,7525.4,AAA
2016-02-04,7578.4,AAA
2016-02-05,7525.4,AAA
2016-02-15,7843.4,AAA
2016-02-16,7843.4,AAA
2016-02-17,7949.4,AAA
2016-02-18,8002.4,AAA
2016-02-19,7949.4,AAA
2016-02-22,7843.4,AAA
2016-02-23,7684.4,AAA
2016-02-24,7737.4,AAA
2016-02-25,7790.4,AAA
2016-02-26,7737.4,AAA
2016-02-29,7631.4,AAA
2016-03-01,7684.4,AAA
2016-03-02,7949.4,AAA
2016-03-03,7896.4,AAA
2016-03-04,7896.4,AAA
2016-03-07,7949.4,AAA
2016-03-08,7896.4,AAA
2016-03-09,7896.4,AAA
2016-03-10,8479.4,AAA
2016-03-11,8373.4,AAA
2016-03-14,8479.4,AAA
2016-03-15,8373.4,AAA
2016-03-16,8373.4,AAA
2016-03-17,8638.4,AAA
2016-03-18,8691.4,AAA
2016-03-21,8744.4,AAA
2016-03-22,9115.3,AAA
2016-03-23,9221.3,AAA
2016-03-24,8903.3,AAA
