Stock_Name,mean,median,std,min,max
AAA,12393.806348530039,12100.0,4084.828609408459,5087.6,22800.0
AAPL,88.44150379106992,56.125,58.39084249076278,22.59,198.11
ACB,14240.263814389102,11825.0,7542.813440682958,3989.4,30360.0
BID,27197.63163265306,28786.15,11105.064056730062,8197.0,54400.0
CTG,20362.42470238095,17856.9,7578.136318833307,9134.3,41141.3
FPT,42617.30097789116,30213.95,29635.63457878815,11722.7,142000.0
GAS,88.44150379106992,56.125,58.39084249076278,22.59,198.11
NVDA,143.69352569502948,61.825,191.59839366088175,4.78,1224.4
VCB,54441.01275510204,57586.5,23195.09095131416,16822.0,97400.0
VNM,95519.72954931973,94612.3,24704.238340505843,58115.3,175578.0
